丂乗乗搒撪朸強丅=　――都内某处。
丂壌偨偪偺椉恊偼帺帯夛偵偼柇偵擬怱側偲偙傠偑偁傝丄擭偵壗搙偐丄攽傑傝偑偗偱夛崌偵弌偐偗傞偙偲偑偁傞丅=　父母对居委会的事异常热心，每年都会有几次过夜参加会议的情况。
丂偦偟偰乽抶偔側傞乿偲偄傢傟偨偲偒偵偼丄偦偺斢偼偄偮傕丄椉恊懙偭偰壠偵婣偭偰偙側偄偺偩丅=　而且当被告知「会很晚」的时候，那天晚上父母总是不会一起回家。
搤庽乽偙傟丅崱擔偺梉斞戙偩偭偰偝乿=冬树「喏，这是今天的晚饭钱」
廐恖乽僒儞僉儏乿=秋人「谢啦」
搤庽乽偦傟偱丄廐恖丠丂偍慜偼偳偆偡傞丠乿=冬树「那么，秋人？你打算怎么办？」
廐恖乽偆乕傫丄偳偆偡傞偐側乧乧乿=秋人「嗯，该怎么办呢……」
丂傾僯僉偑恥偹偰偒偨偺偵偼棟桼偑偁傞丅=　哥哥这么问是有原因的。
丂椉恊偑帺帯夛偺夛崌偱壠傪棷庣偵偡傞偲偒丄偒傑偭偰壌偨偪偺偳偪傜偐偑丄桭払偺壠偵攽傑傝偑偗偱梀傃偵峴偔偐傜偩丅=　每当父母因居委会会议而不在家时，我们两个中总有一个会去朋友家过夜玩。
丂擇恖懙偭偰攽傑傝偱梀傃偵弌偨偙偲傕偁傞偑丄偦傟偩偲偁偲偁偲椉恊偑偆傞偝偄丅=　也曾经两个人一起出去过夜玩，但那样的话事后父母会很啰嗦。
丂乽攽傑傝偵側傞乿偲偄偆揹榖偑怺栭偵妡偐偭偰偒偨傝傕偡傞偺偱丄偳偪傜偐堦恖偱傕壠偵偄傞曽偑偄偄偺偩丅=　因为有时会在深夜接到「要住宿」的电话，所以至少有一个人在家比较好。
丂偮傑傝丄偙傟偼崱擔偺斢偺屳偄偺峴摦偺懪偪崌傢偣偭偰傢偗偩丅=　也就是说，这是在商量今晚各自的行动计划。
丂壞媥傒偺偲偒偲偐偱丄屳偄偵梡帠偑棫偰崬傫偱傞偲偒側偳偼丄鄷楏側暊偺偝偖傝崌偄偑揥奐偝傟傞偙偲傕偁傞丅=　在暑假期间，如果双方都有安排的话，有时还会展开激烈的试探。
廐恖乽傾僯僉偼偳偆偡傞婥偩丠丂壗偐梊掕偑偁傞偺偐丠乿=秋人「老哥你打算怎么办？有什么安排吗？」
搤庽乽乧媫偩偐傜側乧乧崱擔偼戝恖偟偔壠偵偄傛偆偲巚偭偰傞偗偳乿=冬树「……太突然了……今天我打算老实待在家里」
廐恖乽偦偭偐乧傾僯僉偑偄傞側傜丄壌偼桭払偺壠偵攽傑傝偱梀傃偵峴偔偐側乿=秋人「这样啊…既然老哥在家，那我就去朋友家过夜玩吧」
搤庽乽偁偁丄偄偄傫偠傖側偄偐丅偲傝偁偊偢丄梉曽偱偄偄偐傜揹榖偱嫵偊偰偔傟乿=冬树「嗯，可以啊。总之傍晚之前给我打个电话就行」
廐恖乽僆僢働丅傢偐偭偨傛乿=秋人「ＯＫ。知道了」
丂嵟嬤丄僾儘僕僃僋僩偺偙偲偽偐傝偱僗僩儗僗偑棴傑偭偰偨偐傜側乧丅=　最近一直在忙项目的事，压力积累得不少啊…
丂媫偩偗偳丄偄偮傕偺儊儞僣側傜惡傪偐偗傟偽偒偭偲廤傑傞偩傠偆丅=　虽然有点突然，不过只要喊一声，老伙计们肯定都会来的吧。
丂崱斢偺梀傇寁夋偵偮偄偰巚偄傪弰傜偣偰偄傞偲丄壌偼怱偑僂僉僂僉偲偟偰偒偨丅=　想着今晚的玩乐计划，心里不禁雀跃起来。
丂偄偮偺娫偵偐丄柊婥傕偡偭偐傝惲傔偰偄偨丅=　不知不觉间，困意也完全消散了。
丂屵慜偺庼嬈拞丅=　上午的课堂上。
丂僋儔僗偺傒傫側偼柊偦偆側娽傪嶤傝側偑傜丄戅孅側庼嬈傪庴偗偰偄偨丅=　班上的同学们都揉着惺忪的睡眼，听着无聊的课。
丂壌傕偦偺椺偵傕傟偢丄偁偔傃傪昁巰偱偐傒嶦偟側偑傜僥僉僗僩傪僷儔僷儔傪傔偔偭偰偄偨丅=　我也不例外，一边拼命忍住哈欠，一边漫不经心地翻着课本。
丂傕偼傗僲乕僩偵儁儞傪憱傜偣傞婥椡偑乧乧側偐偭偨傝偡傞丅=　已经完全没有在笔记本上奋笔疾书的精力了……
廐恖乽乮傆偀乣丄柊偄丅暿偵栭峏偐偟偟偨傢偗偱傕偹偉偺偵乧偳偆偟偰偙傫側偵柊偄傫偩偐乯乿=秋人「（呼啊～好困啊。明明也没熬夜…怎么会这么困呢）」
丂壌偼柊婥傪庢傝嫀傞偨傔偵丄庱傪僽儞僽儞偲怳偭偰傒偨丅=　为了驱散睡意，猛地摇了摇头。
丂偡傞偲丄壌偺帇奅偵埁偺巔偑塮傞丅=　这时，视线里出现了葵的身影。
丂側偤偩傠偆丄埁偼偟偒傝偵憢偺奜傪挱傔偰偄傞丅=　不知为何，葵一直在盯着窗外看。
丂壗偩偐婥偵側傞側乧乧=　总觉得有点在意……
丂偦傫側偙偲傛傝乧=　比起这个…
丂傕偟偐偟偰乧=　该不会是…
廐恖乽乮傗偭傁傝柊偄乧乧偙偆側傝傖丄偄偭偦怮偰偟傑偍偆両乯乿=秋人「（果然还是困啊……既然这样，干脆睡觉算了！）」
丂壌偼偮偄偵悋杺偵懴偊偒傟偢丄婘偺忋偵撍偭暁偟偰嫃柊傝傪偟偰偟傑偭偨丅=　我终于抵挡不住睡意，趴在桌子上睡着了。
廐恖乽乮偍傗偡傒丅乧乧偖偅乯乿=秋人「（晚安。……呼～）」
丂傢偨偟偼憢偺奜丄僌儔僂儞僪傪尒壓傠偟偰偄偨丅=　我正俯视着窗外的操场。
埁乽乮搤庽偍孼偪傖傫乧乧乯乿=葵「（冬树哥哥……）」
丂搤庽偍孼偪傖傫偺僋儔僗偼丄懱堢偺庼嬈傪偟偰偄傞偲偙傠偩偭偨丅=　冬树哥哥的班级正在上体育课。
丂崱擔偼壗偩偐庼嬈偵恎偑擖傜偢丄壗偲側偔僌儔僂儞僪偵偄傞搤庽偍孼偪傖傫偺巔傪扵偟偰偟傑偭偰偄偨丅=　今天不知怎的，上课有点心不在焉，不知不觉就在操场上寻找冬树哥哥的身影。
埁乽乮偁丄偄偨偄偨丅偍孼偪傖乣傫両丂乧乧側傫偰偹丄怱偺拞偱嫨傫偱傕暦偙偊側偄偐乯乿=葵「（啊，找到了找到了。哥哥～！……虽然在心里喊也听不到呢）」
丂傆傆偭偲徫偭偰偟傑偄丄偟偽傜偔偍孼偪傖傫偺巔傪栚偱捛偭偰偄偨丅=　不禁轻笑出声，目光继续追随着哥哥的身影。
丂偡傞偲晄巚媍側偙偲偵丄搤庽偍孼偪傖傫偑傑傞偱傢偨偟偵婥晅偄偨偐偺傛偆偵偙偭偪傪岦偄偨丅=　突然，奇怪的是，冬树哥哥好像察觉到了我似的，朝这边看了过来。
埁乽乮偊乧乧偭両丠乯乿=葵「（诶……！？）」
丂偍孼偪傖傫偼傑傞偱傢偨偟偺怱偺嫨傃偑撏偄偨偐偺傛偆偵丄傢偨偟偵岦偐偭偰桪偟偘偵旝徫傒丄偦偟偰彫偝偔庤傪怳偭偰偒偨丅=　哥哥仿佛听到了我内心的呼唤一般，朝我温柔地微笑，还轻轻挥了挥手。
埁乽乮偁偼偭両乯乿=葵「（啊哈！）」
丂傢偨偟偼婐偟偔側偭偰丄帺暘傕彫偝偔庤傪怳傝曉偟偰傒傞丅=　高兴得不得了，也小小地挥了挥手回应。
丂搤庽偍孼偪傖傫偼偡偖偵庼嬈偵栠偭偨偑丄傢偨偟偼偦偺傑傑丄偍孼偪傖傫偺巔傪栚偱捛偄懕偗偨丅=　冬树哥哥很快就回到了课堂上，但目光仍然一直追随着哥哥的身影。
埁乽乮傢偨偟偺惡乧乧撏偄偨偺偐側丠乯乿=葵「（我的声音……传到了吗？）」
丂傫傆傆丄偦傫側偙偲偭偰柍偄偲巚偆偗偳丅=　嘻嘻，虽然觉得这种事不可能发生啦。
丂偩偗偳嬼慠偱傕丄偲偰傕婐偟偄丅=　但即使是偶然，也让我非常开心。
丂乧乧偙傫側壗偱傕側偄偙偲偑丄偙傫側偵岾偣偩側傫偰丄崱傑偱抦傜側偐偭偨丅=　……直到现在才知道，这种微不足道的小事竟能带来如此幸福的感觉。
埁乽乮偊傊傊丄偍孼偪傖乣傫乯乿=葵「（诶嘿嘿，哥哥～）」
丂傢偨偟偼嵞傃丄搤庽偍孼偪傖傫偵怱偺拞偱屇傫偱傒傞丅=　再次在心中呼唤冬树哥哥。
丂偦傟傪傢偨偟偼丄庼嬈拞偵壗搙傕孞傝曉偟偰偄偭偨丅=　在课堂上，一遍又一遍地重复着这个动作。
桭恖乽偍乣乣偄丄棃惒偔偅乣傫乿=友人「喂～～，来栖君～」
廐恖乽傫丠丂偳偆偟偨偀丠乿=秋人「嗯？怎么啦？」
丂拫媥傒偵側傞偲摨帪偵丄桭払偑榖偟偐偗偰偒偨丅=　午休一开始，朋友就过来搭话了。
桭恖乽傎傜丄亀崱擔廤傑傠偆偤亁偭偰尵偭偰偨偱偟傚偋丠丂傒傫側偹丄僲儕偑傛偔偭偰偉乧乿=友人「喂，还记得我们说过「今天一起聚聚」吗？大家都很积极呢……」
廐恖乽偍丄儅僕偱丠丂偦偄偮偼儔僢僉乕偩側乿=秋人「哦，真的吗？那可太走运了」
丂屵慜拞偵丄桭払偵乽揙栭偱梀傏偆偤乿偲惡傪妡偗偰偄偨偲偙傠丄憗懍怓岲偄曉帠偑曉偭偰偒偰傞傒偨偄偩丅=　上午时和朋友们提议「通宵玩乐」，看来立刻就得到了积极的回应。
廐恖乽偱丄偳偆偡傞丠丂偄偮傕偺乧乿=秋人「那么，怎么安排？还是老地方……」
桭恖乽偦傟側傫偩偗偳偹丄嵟嬤丄慼変偔傫偨傜偝乧乿=友人「说到这个啊，最近苏我那家伙……」
丂僂僉僂僉偟側偑傜桭払偲寁夋偵偮偄偰榖偟崌偆丅=　兴高采烈地和朋友讨论起计划来。
丂偲丄埁偑偍偦傞偍偦傞偲偄偭偨姶偠偱榖偟偐偗偰偒偨丅=　这时，葵小心翼翼地过来搭话。
埁乽乧廐恖丠丂傢偨偟丄偍拫偵峴偭偪傖偆偗偳丠乿=葵「……秋人？我要去吃午饭了哦？」
廐恖乽偁偁丄埁偐丅埆偂丄偪傚偭偲崱丄棫偰崬傫偱傞傫偩乿=秋人「啊，是葵啊。抱歉，我现在有点忙」
埁乽偦偆傒偨偄偹乧乿=葵「看起来是这样呢……」
廐恖乽偱偝丄偙側偄偩偺乧乿=秋人「那个，前几天的……」
丂壌偼埁偵慺偭婥側偔墳偊傞偲丄偡偖偵桭払偲偺夛榖偵擬拞偟巒傔偨丅=　冷淡地回应了葵，立刻又热衷于和朋友们的对话中。
丂偟偽傜偔偡傞偲丄埁偺巔偼嫵幒偐傜柍偔側偭偰偄偨丅=　不一会儿，葵的身影就从教室里消失了。
丂傑丄嵟嬤偼暯壐偩偟丄偦傫側偵婥偵偡傞偙偲傕側偄偩傠偆乧丅=　嘛，最近挺平静的，应该也不用太在意吧……
丂傢偨偟偼丄搤庽偍孼偪傖傫偲壆忋偱拫怘傪庢偭偰偄偨丅=　和冬树哥哥在屋顶上吃着午饭。
搤庽乽傊偊乣丄崱擔偺偍曎摉偼彮偟敄枴偵偟偨偺偐偄丠乿=冬树「诶～今天的便当味道稍微淡了点吗？」
埁乽偆傫丄偦偆偩傛丅偪傚偭偲偹丄傢偨偟僆儕僕僫儖偺枴晅偗傪偟偰傒傛偆偲巚偭偰乿=葵「嗯，是啊。我稍微尝试了一下自创的调味方法」
搤庽乽偦偭偐偀乿=冬树「这样啊」
埁乽傢偨偟偼旤枴偟偔偱偒偨偲巚偆傫偩偗偳乧丠乿=葵「我觉得做得挺好吃的……你觉得呢？」
搤庽乽偆傫丄偲偰傕旤枴偟偄傛乿=冬树「嗯，非常好吃哦」
埁乽儂儞僩丠丂傛偐偭偨偀乧乿=葵「真的吗？太好了……」
丂偦偆尵偭偰丄搤庽偍孼偪傖傫偑傢偨偟偺嶌偭偨偍曎摉傪偍偄偟偦偆偵杍挘偭偰偄傞丅=　说着，冬树哥哥津津有味地大口吃着我做的便当。
丂抔偐偄擔嵎偟偺拞丄傢偨偟偼偲偰傕岾偣側婥暘偩偭偨丅=　在温暖的阳光下，感到非常幸福。
埁乽偹偊丄偍孼偪傖傫乿=葵「呐，哥哥」
搤庽乽傫丄側傫偩偄丠乿=冬树「嗯，怎么了？」
埁乽廐恖偹丄崱擔偼傗偭傁傝丄桭払偺壠偵攽傑傝偑偗偱梀傃偵峴偔傒偨偄偩傛乿=葵「秋人啊，今天果然还是要去朋友家过夜玩呢」
搤庽乽傊偊丄偦偆偐乿=冬树「哦，是这样啊」
埁乽乧乧傢偨偟丄崱斢偍孼偪傖傫偺晹壆偵梀傃偵峴偭偰傕偄偄偐側丠乿=葵「……我今晚可以去哥哥房间玩吗？」
搤庽乽偆傫丄傕偪傠傫乿=冬树「嗯，当然可以」
埁乽偊傊傊丄傗偭偨乿=葵「诶嘿嘿，太好了」
丂乧偡偖偵嫻偑僪僉僪僉偟偰偒偪傖偆丅=　…心脏立刻开始砰砰直跳。
丂崱擔偼傕偆丄懠偵壗傕庤偑偮偐側偄偐傕乧丅=　今天可能已经什么都做不了了…。
丂劅劅晹妶廔椆偺帪娫偵側偭偨丅=　──社团活动结束的时间到了。
廐恖乽傛偭偟傖偀両両丂崱擔傕堦擔偑廔傢偭偨偧乕両両乿=秋人「耶！！今天又是充实的一天啊！！」
丂壌偼尦婥傛偔戝惡傪嫇偘傞偲丄晹幒偵岦偐偭偰僟僢僔儏偟偨丅=　我精神抖擞地大声喊道，然后朝社团活动室冲了过去。
廐恖乽僼僼僼僢両両丂崱擔偼梀傇偤両乿=秋人「嘿嘿嘿！！今天要好好玩一玩！」
丂崱擔堦擔傕丄僾儘僕僃僋僩偺婥攝偼旝恛傕側偔丄壌偼嵟崅偺婥暘偩偭偨丅=　今天一整天都没有项目的影子，心情简直不能再好了。
丂偲丄晹幒偵岦偐偭偰憱傞壌偺帇奅偵丄埁偺巔偑塮偭偨丅=　就在朝社团活动室跑去的时候，视线里出现了葵的身影。
丂偳偆傗傜丄埁傕晹妶傪廔偊偰晹幒偵岦偐偭偰偄傞偲偙傠傜偟偄丅=　看来葵也结束了社团活动，正要去社团活动室的样子。
廐恖乽偍乕乕偄両丂埁乣乣乣乣偭乿=秋人「喂——！葵——————！」
丂壌偵婥偯偄偨埁偼偡偖偵怳傝岦偄偨丅=　注意到我的葵立刻转过身来。
埁乽偳偆偟偨偺丄偦傫側偵媫偄偠傖偭偰乿=葵「怎么了，这么着急？」
廐恖乽埁丄崱擔偝丄埆偄偗偳堦恖偱婣偭偰偔傟傞偐丠乿=秋人「葵，今天不好意思，你能自己回去吗？」
廐恖乽桭払偲梀傇栺懇偟偰偰偝丄懍峌偱壠偵婣傝偨偄傫偩傛乿=秋人「我和朋友约好了要玩，想赶紧回家呢」
埁乽偆傫乧乧偄偄偗偳乿=葵「嗯……可以是可以」
廐恖乽偁丄偦傟偲両丂傾僯僉偵偁偭偨傜丄壌偼攽傑傝偱梀傃偵峴偭偰傞偭偰丄揱偊偲偄偰偔傟両乿=秋人「啊，还有！如果见到老哥，帮我说我去朋友家过夜玩了！」
埁乽偼偄偼偄丅傢偐偭偨傢傛乿=葵「好好，我知道了」
廐恖乽傛傠偟偔側両丂偠傖両乿=秋人「拜托啦！那我走了！」
丂壌偼曅庤傪偁偘傞偲丄晹幒偵岦偐偭偰嬱偗偩偟偨丅=　我挥了挥手，朝部室跑去。
丂傕偆偡偖栭偺俋帪偵側傠偆偲偟偰偄傞崰乧丅=　眼看就要到晚上９点了……
廐恖乽偠傖偁側丄傑偨崱搙乿=秋人「那回头见啦」
桭恖俙乽偁偁丄傑偨側棃惒乿=友人Ａ「嗯，再见啊来栖」
桭恖俛乽崱搙偼傕偭偲丄備偭偔傝偟傛偆偤乿=友人Ｂ「下次咱们多玩会儿啊」
廐恖乽傑偭偨偔偩乿=秋人「没错」
丂壌偼偮偄偝偭偒傑偱堦弿偵梀傫偱偄偨桭恖偲暿傟傞偲丄堦恖偱栭摴傪帺戭偵岦偐偭偰偺傫傃傝偲曕偒巒傔偨丅=　和刚刚还在一起玩的朋友们告别后，独自悠闲地走在回家的夜路上。
丂杮摉偼攽傑傝偺偮傕傝偱梀傃偵峴偭偨偺偩偑乧丅=　本来是打算去过夜的，但是……
丂傒傫側偱廤傑偭偰儚僀儚僀憶偄偱偄偨傜丄偦偺桭払偺曣恊偵丄偆傞偝偄偲搟傜傟偰捛偄弌偝傟偰偟傑偭偨丅=　大家聚在一起热闹地闹腾，结果被朋友的母亲骂太吵，给赶出来了。
丂乧乧妋偐偵側丄侾侽恖偼廤傑傝偡偓偩傠丄偭偰姶偠偩偭偨丅=　……确实，感觉１０个人聚在一起有点太多了。
丂偲偵偐偔傑偁丄拠偺椙偄桭払摨巑偺栭峏偐偟寁夋偼偍偠傖傫偵側傝丄偁偭偝傝偲偍奐偒偵側偭偰偟傑偭偨傢偗偩丅=　总之，关系要好的朋友们的熬夜计划泡汤了，就这样草草收场了。
丂嵟嬤丄僾儘僕僃僋僩偺偙偲側偳偑偁偭偰偢偭偲僗僩儗僗偑偨傑偭偰偄偨偐傜丄媣偟傇傝偵桭払偲儚僀儚僀憶偓偨偄偩偗偩偭偨傫偩偑乧丅=　最近因为项目的事情一直积压着压力，只是想久违地和朋友们热闹一下而已……
丂乽棃惒偑媣偟傇傝偵棃傞偭偰尵偆偐傜乿乧乧扤偐偑偦傫側偙偲傪尵偭偰偔傟偨偭偗丅=　「来栖久违地来了」……好像有人这么说过。
丂壌偺偙偲傪偦傫側晽偵巚偭偰偔傟傞儎僣偑偄傞偭偰偺偼偁傝偑偨偄丅=　有人能这样想着我真是感激不尽。
廐恖乽乧傑偨偦偺偆偪丄婡夛傕偁傞偝乿=秋人「……以后总会有机会的」
丂栤戣側偺偼丄崱偐傜壠偵婣偭偰傕丄偙傟偲偄偭偰偡傞偙偲偑柍偄偲偄偆偙偲偩丅=　问题是，现在回家也没什么特别要做的事。
丂屻攜偐傜庁傝偰尒偰偄偨亀屒撈愴巑僈僢僨儉亁傕丄偝偭偒偺桭払偺壠偱娪徿偟廔傢偭偪傖偭偨偟側丅=　从后辈那里借来看的「孤独战士加德姆」，也在刚才朋友家里看完了。
丂廻戣側傫偰丄傗傞婥傕婲偒側偄偟乧丅=　作业什么的，也提不起劲来做……
廐恖乽偟傚偆偑側偄乧乧嶶曕偺偮傕傝偱丄偪傚偭偲墦夞傝偱傕偟偰峴偔偐乿=秋人「没办法……就当散步，稍微绕远点路去吧」
丂傢偨偟偼丄搤庽偍孼偪傖傫偺晹壆傪朘偹偰偄偨丅=　去拜访了冬树哥哥的房间。
丂棃惒偺偍偠偝傫偲偍偽偝傫偼帺帯夛偺廤傑傝偱抶偔側傞傒偨偄偩偟丄廐恖傕攽傑傝偑偗偱偍桭払偺壠傊梀傃偵偄偭偰偄傞丅=　来栖叔叔阿姨似乎因为自治会的聚会要晚些回来，秋人也去朋友家过夜玩了。
丂搤庽偍孼偪傖傫偲擇恖偱偺傫傃傝偡傞偵偼偆偭偰偮偗偩偭偨丅=　正是和冬树哥哥两个人悠闲相处的绝佳时机。
丂偦傟偵丄崱擔偼扤偺栚傕側偄偲偄偆偙偲偑丄偡偛偔偁傝偑偨偐偭偨丅=　而且，今天没有任何人的眼睛盯着，这点让人非常感激。
丂崱擔偼丄傢偨偟偵偲偭偰偲偰傕戝愗側擔偩偐傜乧乧丅=　因为今天对我来说是非常重要的日子……
丂搤庽偍孼偪傖傫偼偄偮傕偲曄傢傜側偄懺搙偱傢偨偟傪寎偊擖傟偰偔傟偨丅=　冬树哥哥以一如既往的态度迎接了我。
丂偄偮傕偺傛偆偵丄摉偨傝忈傝偺側偄夛榖偱惙傝忋偑傞丅=　像往常一样，我们聊着无关痛痒的话题，气氛渐渐热络起来。
丂偱傕傢偨偟偼丄偢偭偲嬞挘偟偰偄偰丄偦傢偦傢偟偰偄偨丅=　但我一直都很紧张，坐立不安。
丂棊偪拝偐側偄丅=　无法平静下来。
丂側傫偩偐悈偺拞傪昚偭偰偄傞傒偨偄偵丄傆傢傆傢偲偟偨姶妎丅=　感觉就像在水中漂浮一样，飘飘然的。
丂傢偨偟丄偡偛偔嬞挘偟偰傞乧乧丅=　我，真的非常紧张……
丂偠偭偲傝偲庤偺傂傜偵娋傑偱偐偄偰偄偨丅=　手心都冒出了黏腻的汗。
丂摉偨傝慜傛偹乧乧丅=　这也是理所当然的吧……
丂傢偨偟偵偲偭偰丄儂儞僩偵儂儞僩偵丄戝愗側偙偲偩偐傜乧丅=　因为对我来说，这真的真的是非常重要的事情……
搤庽乽偩偐傜偝丄杔偼廐恖偵尵偭偰傗偭偨傫偩丅偦傟偼帺嬈帺摼偩偭偰乿=冬树「所以啊，我就对秋人说了。这是自作自受」
埁乽偊丠丂偁丄偦偆側傫偩丅偁偼偼乿=葵「诶？啊，是这样啊。啊哈哈」
丂徫偄惡偑丄嬻乆偟偄嬁偒偲側偭偰徚偊偰偄偔丅=　笑声变得空洞，渐渐消失。
丂偍孼偪傖傫偑丄鎎偟偘側摰傪傢偨偟偵岦偗偰偒偨偐傜偩丅=　因为哥哥用疑惑的眼神看向了我。
丂偍孼偪傖傫偼壗傕恥偐側偄丅=　哥哥什么也没问。
丂偒偭偲丄崱擔偺傢偨偟偺懺搙偑偍偐偟偄偙偲偵偩偭偰丄婥偯偄偰偄傞偼偢側偺偵丅=　明明一定注意到了今天我的态度很奇怪。
丂傑偨丄傢偨偟偵婥傪尛偭偰傞偺偹乧乧丅=　又在为我着想呢……
丂偛傔傫偹丄偍孼偪傖傫丅=　对不起，哥哥。
丂夛榖偑搑愗傟偨丅=　对话中断了。
丂捑栙偑晹壆傪曪傒崬傓丅=　沉默笼罩着整个房间。
丂崱偟偐丄僠儍儞僗偼側偄偐傕偟傟側偄丅=　也许只有现在才是机会。
丂僠儍儞僗偲偄偆偐丄僞僀儈儞僌偲偄偆偐丅=　与其说是机会，不如说是时机。
丂偡偛偔桬婥偑偄傞丅=　需要极大的勇气。
丂偱傕乧乧崱側傜丄尵偊傞婥偑偡傞丅=　但是……感觉现在的话，能说出口。
丂偦偟偰偙偙偱尵偄摝偡偲丄傕偆偢偭偲尵偆婡夛偑側偔側偭偰偟傑偆偐傕偟傟側偄丅=　而且如果现在错过了，也许就再也没有机会说出口了。
丂傢偨偟偼婄傪忋偘偨丅=　我抬起了头。
丂巔惃傪惓偟丄偐偟偙傑傞丅=　端正姿势，正襟危坐。
丂偠偭偲尒偮傔傞偲丄偍孼偪傖傫偼崲偭偨傛偆側婄偱庱傪孹偘偨丅=　直直地盯着看，哥哥露出困惑的表情，歪了歪头。
埁乽偍孼偪傖傫乿=葵「哥哥」
丂偍孼偪傖傫偺尵梩傪幷偭偰丄傢偨偟偼偮傇傗偄偨丅=　打断哥哥的话，我喃喃自语道。
丂惡偑恔偊偦偆乧乧丅=　声音似乎在颤抖……
丂怱憻偑偡偛偔僪僉僪僉偟偰偄傞丅=　心脏砰砰直跳。
丂嬞挘偱丄墴偟捵偝傟偰偟傑偄偦偆乧乧丅=　紧张得快要被压垮了……
丂偱傕乧尵偆偺丅=　但是……要说出来。
丂桬婥傪弌偟偰丅=　鼓起勇气。
埁乽傢偨偟丄偍孼偪傖傫偺偙偲偑乧乧岲偒乿=葵「我……喜欢哥哥」
丂崘敀偟偨搑抂偵抪偢偐偟偔側偭偰丄婄偑擬偔側偭偨丅=　告白的瞬间就觉得羞耻起来，脸变得滚烫。
丂傢偨偟偺婄丄偒偭偲恀偭愒偩丅=　脸肯定红得不行。
丂偨傑傜偢丄傕偆堦搙婄傪暁偣偨丅=　忍不住，再次低下了头。
搤庽乽偊丠乿=冬树「诶？」
丂偍孼偪傖傫偼暦偒曉偟偰偔傞傕偺偺丄偦傟傎偳嬃偄偰偼偄側偄傒偨偄偩偭偨丅=　哥哥虽然反问了一句，但似乎并没有那么惊讶。
丂傢偨偟偼戝偒偔怺屇媧偟偨丅=　深深地吸了一口气。
丂懕偗側偔偪傖丅=　必须继续说下去。
丂偦傟偑崱擔丄偙偺晹壆偵棃偨栚揑偩傕偺丅=　这就是今天来到这个房间的目的。
埁乽偍孼偪傖傫偺偙偲丄偢偭偲摬傟偰偨丅偱傕崱偼丄傕偭偲堘偆堄枴偱丄搤庽偍孼偪傖傫偺偙偲偑岲偒側偺乧乧乿=葵「一直都很憧憬哥哥。但现在，对冬树哥哥的喜欢已经有了不同的意义……」
丂傢偨偟偼偲偰傕偱偼側偄偗偳丄搤庽偍孼偪傖傫偺婄傪尒傞偙偲偑偱偒側偐偭偨丅=　完全无法直视冬树哥哥的脸。
丂偆偮傓偒丄旼偺忋偵抲偄偨帺暘偺庤傪丄偠偭偲尒偮傔偨丅=　低着头，目不转睛地盯着放在膝盖上的双手。
埁乽乧乧岲偒側偺丅偍孼偪傖傫偺偙偲丄戝岲偒側偺乧乧乿=葵「……喜欢你。非常非常喜欢哥哥……」
丂尵偭偪傖偭偨乧乧丅=　说出口了……
丂嬞挘偲抪偢偐偟偝偺偁傑傝丄傢偨偟偼栚峥偑偟偰偒偨丅=　由于过度紧张和羞耻，感到一阵眩晕。
丂偢偭偲怱憻偺僪僉僪僉偑巭傑傜側偄丅=　心脏一直扑通扑通地跳个不停。
丂偺偳偐傜旘傃弌偟偦偆側偔傜偄偺惃偄偱丄巹偺嫻偼柭偭偰偄傞丅=　胸口剧烈地跳动着，仿佛要从喉咙里蹦出来一样。
丂抐傜傟偨傜偳偆偟傛偆乧乧丅=　如果被拒绝了该怎么办……
丂曫傟傜傟偨傜偳偆偟傛偆乧乧丅=　如果被嫌弃了该怎么办……
丂偍孼偪傖傫丄傢偨偟偺偙偲寉曁偡傞偐側乧乧丅=　哥哥会不会鄙视我呢……
丂傢偨偟偺偙偲丄寵偄偵側傞偐側乧乧丅=　会不会讨厌我呢……
丂傕偟丄嫅愨偝傟偨傜丄偒偭偲傢偨偟丄惗偒偰偄偗側偄乧乧丅=　如果被拒绝的话，肯定活不下去了……
丂偦傟偔傜偄丄偍孼偪傖傫傊偺憐偄偼傢偨偟偺拞偱嫮偔側偭偰偄偨丅=　对哥哥的感情在内心变得如此强烈。
搤庽乽乧乧側偄傛乿=冬树「……不会的」
丂嬞挘偟偡偓偰丄偍孼偪傖傫偺尵梩丄傛偔暦偒庢傟側偐偭偨丅=　因为太过紧张，没能听清哥哥说的话。
丂偡偑傞傛偆偵偍孼偪傖傫傪尒偮傔曉偡偲丄偍孼偪傖傫偼徠傟偨傛偆偵嬯徫偟偨丅=　当以恳求的眼神回望哥哥时，他似乎有些害羞地苦笑了。
搤庽乽杔偼丄岲偒偱傕側偄彈偺巕傪丄摨忣傗垼傟傒偱書偗傞傎偳婍梡偠傖側偄傛乿=冬树「我可没有那么圆滑，能仅仅出于同情或怜悯就去拥抱一个不喜欢的女孩」
丂傢偨偟偼懅傪撣傫偩丅=　屏住了呼吸。
丂嫻偺拞偵丄擬偄傕偺偑偙傒忋偘偰偔傞丅=　胸中涌起一股炽热的感觉。
埁乽偁偺乧乧偦傟偭偰乧乧乿=葵「那个……这是不是意味着……」
丂偍孼偪傖傫偼丄崱搙偼偵偙傗偐偵徫偭偨丅=　哥哥这次露出了和蔼可亲的笑容。
丂傢偨偟偺戝岲偒側丄徫婄乧乧丅=　我最喜欢的笑容……
